project,abstract
การศึกษาและวิเคราะห์กระบวนการทำงานของสายพานลำเลียงภายในคลังสินค้า,งานวิจัยนี้เป็นการศึกษาและวิเคราะห์กระบวนการทำงานของสายพานลำเลียงภายในคลังสินค้า เพื่อวิเคราะห์ถึงเวลาการทำงานในแต่ละส่วนทั้งก่อนใช้และหลังใช้สายพานลำเลียงมาเปรียบเทียบกัน ว่าขั้นตอนการทำงานใดเร็วขึ้นบ้าง แล้วนำผลลัพธ์จากการเก็บรวบรวมข้อมูลมาวิเคราะห์ถึงเวลาการทำงานในแต่ละส่วนโดยจับเวลาเพื่อหาค่าเฉลี่ย มากสุด น้อยสุด จากนั้นจึงเสนอแนวทางในกาพัฒนากระบวนการทำงานของสายพานลำเลียงโดยใช้เครื่องมือ ECRS มาปรับใช้กับกระบวนการทำงานของสายพานลำเลียงเพื่อลดการเกิดความสูญเปล่าในด้านเวลาและขั้นตอนการทำงาน จากการศึกษาพบว่า กระบวนการทำงานทั้งขาเข้าจากโรงงานมิชลินพระประแดง (Inbound STP) และขาออกส่งไปโรงงาน (Outbound OE) แบบที่ใช้สายพานลำเลียงมีระยะเวลาในการดำเนินงานเร็วกว่าแบบเก่า โดยขาเข้าจากโรงงานมิชลินพระประแดง (Inbound STP) แบบที่ใช้สายพานลำเลียงมีระยะเวลาเฉลี่ยอยู่ที่ 156.9 นาที ซึ่งใช้เวลาในการดำเนินงานน้อยกว่าแบบเก่าที่มีระยะเวลาเฉลี่ยอยู่ที่ 226.6 นาที ส่งผลให้มีผลิตภาพเพิ่มขึ้น 30.76% และขาออกส่งไปโรงงาน (Outbound OE)แบบที่ใช้สายพานลำเลียงมีระยะเวลาเฉลี่ยอยู่ที่ 156.4นาที ซึ่งใช้เวลาในการดำเนินงานน้อยกว่าแบบเก่าที่มีระยะเวลาเฉลี่ยอยู่ที่ 165.6 นาที ส่งผลให้มีผลิตภาพเพิ่มขึ้น 5.56 %
การศึกษาแนวทางการป้องกันปัญหาวัตถุดิบขาดแคลนของกระบวนการนำเข้าแลคโตส,"งานวิจัยนี้มีจุดประสงค์ เพื่อศึกษาแนวทาง ขั้นตอน และกระบวนการนำเข้าวัตถุดิบ (Raw Materials) เพื่อป้องกันไม่ให้เกิดปัญหาวัตถุดิบขาดแคลน ซึ่งการศึกษาในครั้งนี้จะเป็นการศึกษากระบวนการนำเข้าวัตถุดิบของบริษัทกรณีศึกษา และวิเคราะห์ถึงเหตุผลของปัญหา จากนั้นจึงศึกษาแนวทางการรับมือการนำเข้าของวัตถุดิบและนำมาวิเคราะห์การควบคุมสินค้าคงคลังเพื่อป้องกันไม่ให้เกิดปัญหาวัตถุดิบขาดแคลน เมื่อได้รูปแบบการกำหนดสินค้าคงคลังสำรองแล้ว ให้นำมาประยุกต์ใช้กับบริษัทกรณีศึกษาเพื่อหาแนวทางการรับมือปัญหาวัตถุดิบขาดแคลน ดังนั้น ในงานวิจัยนี้จึงได้มีแนวคิดนำการกำหนดสินค้าคงคลังสำรอง (Safety Stock) มาประยุกต์ใช้ เพื่อให้ทราบถึงแนวทางการกำหนดปริมาณสินค้าคงคลังสำรองที่เหมาะสม จากการคำนวณพบว่าหากบริษัทต้องการมีสินค้าคงคลังสำรองเพื่อป้องกันสินค้าขาดแคลน บริษัทต้องสั่งวัตถุดิบเพิ่มขึ้นในแต่ละเดือนของปี 2564 ประมาณ 187,173 ชิ้น เฉลี่ยแล้วอยู่ที่ปริมาณ 335,591 ชิ้น จากอุปสงค์ความต้องการของวัตถุดิบประเภทแลคโตสที่กำลังมีปัญหาขาดแคลนอยู่ขณะนี้ ซึ่งเป็นปริมาณสินค้าคงคลังที่เหมาะสมสำหรับการจัดเก็บสำรองในช่วงสถานการณ์วัตถุดิบขาดแคลนที่บริษัทต้องเผชิญ"
การเพิ่มประสิทธิภาพการทํารับสินค้าโดยการใช้เทคโนโลยี Radio Frequency Identification,"การที่บริษัทโรเบิร์ต เทคโนโลยี นำเทคโนโลยี RFID (Radio Frequency Identification) มาประยุกต์ใช้กับการทำรับสินค้าในคลังสินค้าเพื่อการจัดเก็บ ติดตาม และตรวจสอบสถานะของสินค้าในคลังสินค้าแล้วนั้น ยังสามารถนำข้อมูลที่ได้นั้นมาจำแนกประเภทของสินค้าที่เกิดการส่งออกและนำเข้ามากที่สุด สามารถคำนวณหาค่าพยากรณ์ความต้องการในแต่ละเดือนได้อีกด้วย ในการจัดทำโครงการนี้ คณะผู้จัดทำได้นำโปรแกรม Microsoft Excel เข้ามาใช้ในการรวบรวมข้อมูลที่ได้จากการทำรับสินค้าจากการใช้เทคโนโลยี RFID ทำให้ง่ายต่อการติดตาม และตรวจสอบสถานะของสินค้า ผลจากการดำเนินงานตรงตามวัตถุประสงค์ที่กำหนดไว้ซึ่งคณะผู้จัดทำได้รับประโยชน์ในเรื่องของการศึกษาระบบภายในคลังสินค้า (บริษัท คูห์เน่ พลัส นาเกิ้ล),ได้ศึกษาขั้นตอนในการดำเนินงานภายในคลังสินค้าก่อนที่จะนำเทคโนโลยี RFID มาใช้, การนำเทคโนโลยี RFID สามารถลดต้นทุนการทำงาน ลดระยะเวลา ลดพนักงาน และยังสามารถเพิ่มประสิทธิภาพในการทำงานได้ ABSTRACT Robert Bosch Automotive Technology (Thailand) Co., Ltd. has applied RFID (Radio Frequency Identification) technology to warehouse receipts for storage, tracking and monitoring of the status of goods in the warehouse. then can also use the information obtained to classify the types of products that are most exported and imported Able to calculate demand forecast for each month as well. In the preparation of this project The organizers have brought Microsoft Excel to be used to collect data obtained from receiving products using RFID technology, making it easy to sneeze. and check the status of the product. The results of operations meet the stated objectives, which the organizers benefit in the matter of studying the system within the warehouse (Kuhne+Nagle Company), having studied the steps in the warehouse operations before Adopt RFID technology, adopting RFID technology can reduce operating costs, shorten time, reduce workforce, and can also increase work efficiency. สารบัญ บทที่หน้า"
การศึกษาและการวิเคราะห์กระบวนการขาออกด้วยอุปกรณ์ฟาสต์เลน,งานวิจัยนี้มีวัตถุประสงค์เพื่อศึกษาและวิเคราะห์กระบวนการขนถ่ายสินค้าขาออกทั้งในรูปแบบที่ใช้สายพานลำเลียง (Conveyor) และแบบที่สวมแหวน (Fastlane) เพื่อตรวจสอบข้อบกพร่องและเพื่อแก้ไขข้อผิดพลาดต่าง ๆ ของแผนก Michelin TSW ของบริษัท ( ไทยแลนด์ ) โดยทำการเก็บรวบรวมข้อมูลด้วยการศึกษากระบวนการดำเนินงานในคลังสินค้า สอบถามกระบวนการดำเนินงานต่าง ๆ จากผู้ปฏิบัติงานในคลังสินค้า จากการศึกษาพบว่า กระบวนการขนถ่ายสินค้าทั้งในรูปแบบที่ใช้สายพานลำเลียง (Conveyor) และแบบที่สวมแหวน (Fastlane) มีข้อบกพร่องที่ยังต้องดำเนินงานแก้ไข เนื่องจากทั้ง 2 กระบวนการได้มีการนำมาใช้พร้อมกับการเปิดใช้งานคลังสินค้าแห่งใหม่ Michelin TSW กระบวนการขนถ่ายสินค้าทั้งในรูปแบบที่ใช้สายพานลำเลียง (Conveyor) และแบบที่สวมแหวน (Fastlane) จึงอยู่ในขั้นทดลองการดำเนินงาน ทำให้ดำเนินงานได้ไม่ต่อเนื่อง การขนถ่ายสินค้าก็ใช้ระยะเวลานานขึ้น และระบบในการทำงานยังไม่เสถียรเท่าที่ควร จากการแก้ไขกระบวนการดำเนินงานที่ผ่านมา ทำให้ระบบในการดำเนินงานเสถียรมากขึ้น กระบวนการขนถ่ายสินค้าขาออกมีผลิตภาพที่เพิ่มขึ้นถึง 29.41%
แนวทางการประเมินประสิทธิภาพการใช้เทคโนโลยีในอุตสาหกรรมยานยนต์ กรณีศึกษาเขตพื้นที่ภาคตะวันออกของประเทศไทย,การวิจัยครั้งนี้ มีวัตถุประสงค์เพื่อศึกษาการนำแนวคิด TOPSIS MENTHOD มาประยุกต์ใช้ในการศึกษาวิธีการประเมินและวัดประสิทธิภาพการใช้เทคโนโลยีในอุตสาหกรรมยานยนต์และชิ้นส่วนยานยนต์และเพื่อศึกษาว่าปัจจัยด้านต้นทุน-กำไร ปัจจัยด้านการปฏิบัตงาน ปัจจัยด้านคุณภาพและปัจจัยด้านพนักงาน เหมะสมต่อการใช้ในการศึกษาวิธีการประเมินและวัดประสิทธิภาพการใช้เทคโนโลยีในอุตสาหกรรมยานยนต์และชิ้นส่วนยานยนต์ ผลจากการวิจัยพบว่าการ ศึกษาแนวทางการประเมินประสิทธิภาพการใช้เทคโนโลยีในอุตสาหกรรมยานยนต์ และชิ้นส่วนยานยนต์ โดยใช้หลักการ TOPSIS MENTHOD กรณีศึกษาเขตพื้นที่ภาคตะวันออกของประเทศไทยผลการศึกษาพบว่าปัจจัยที่เหมาะสมต่อนำมาใช้ในการประเมินและวัดประสิทธิภาพการใช้เทคโนโลยีในอุตสาหกรรมยานยนต์ และชิ้นส่วนยานยนต์มากที่สุดจากการหาค่าสัมประสิทธิ์ที่ใกล้ค่าอุดมคติที่สุดคือ ปัจจัยด้านพนักงานซึ่งสามารถหาค่าสัมประสิทธิ์ที่ใกล้ค่าอุดมคติที่สุดเท่ากับ 1 และปัจจัยที่เหมาะสมต่อนำมาใช้ในการประเมินและวัดประสิทธิภาพการใช้เทคโนโลยีในอุตสาหกรรมยานยนต์ และชิ้นส่วนยาน-ยนต์น้อยที่สุดจากการหาค่าสัมประสิทธิ์ที่ใกล้ค่าอุดมคติที่สุดคือ ปัจจัยด้านต้นทุน-กำไรซึ่งสามารถหาค่าสัมประสิทธิ์ที่ใกล้ค่าอุดมคติที่สุดเท่ากับ 0.20
การลดระยะเวลาในการสรุปข้อมูลรายปีของบริษัทกรณีศึกษาตัวแทนจำหน่ายรถยกไฟฟ้า,การวิจัยนี้มีวัตถุประสงค์เพื่อศึกษาแนวทางการลดระยะเวลาดำเนินการของการสรุปข้อมูลรายปีของบริษัทกรณีศึกษา โดยนำแนวคิดลีนมาใช้ ซึ่งปัจจุบันบริษัทกรณีศึกษามีการใช้ไมโครซอฟท์เอ็กเซลในการเก็บและสรุปข้อมูลรายปีด้วยวิธีการทำด้วยมือ (manual) ส่งผลให้มีระยะเวลาในการสรุปข้อมูลนาน การวิจัยนี้จึงได้นำเครื่องมือ Pivot Table ของโปรแกรม Microsoft Excel มาประยุกต์ใช้ โดยการลากหัวข้อที่ต้องการลงมาในแถบเครื่องมือ พื้นที่การออกแบบ ทำให้ผู้ใช้งานสรุปข้อมูลรายปีได้รวดเร็วและแม่นยำขึ้น ผลการศึกษาพบว่า วิธีการสรุปข้อมูลรายปีแบบทำด้วยมือ ใช้ระยะเวลา 81.22 นาที เมื่อเปรียบเทียบกับการใช้เครื่องมือ Pivot Table ซึ่งใช้ระยะเวลา 4.33 นาที พบว่าสามารถลดระยะเวลาในการสรุปข้อมูลรายปีได้ 94.67%
ารพัฒนาเครื่องมือในการทำงานเพื่อติดตามการต่ออายุใบอนุญาตสั่งเข้ามาซึ่งยุทธภัณฑ์และมีซึ่งยุทธภัณฑ์,การศึกษานี้เป็นการศึกษาการใช้เครื่องมือ Add reminders จากแอปพลิเคชัน Google Sheets ของบริษัทกรณีศึกษาแห่งหนึ่งในจังหวัดกรุงเทพมหานคร เพื่อนำมาแก้ไขปัญหาที่พบภายในบริษัท รวมถึงเพิ่มประสิทธิภาพในการทำงานในส่วนของใบอนุญาตภายในแผนก Import-Export อีกทั้งเป็นการเพิ่มพูนทักษะการใช้งานเทคโนโลยีให้ผู้ปฏิบัติงานในการปฏิบัติงานให้มีประสิทธิภาพมากยิ่งขึ้น โดยมีขั้นตอนการทำงานดังนี้ 1) ศึกษาปัญหาและความต้องการของผู้ใช้ 2) ศึกษาเครื่องมือและเทคโนโลยีที่เหมาะสม นำมาทดลองและปรับใช้ให้เข้ากับปัญหาที่ต้องการแก้ไข 3) สรุปผลการใช้เครื่องมือและผลลัพธ์ที่ได้ พร้อมทั้งทำคู่มือเป็นการประกอบการใช้งาน เพื่อให้ผู้ปฏิบัติงานมีความเข้าใจถึงวิธีการใช้งานได้ง่ายมากยิ่งขึ้น จากผลการศึกษาพบว่าเครื่องมือ Add Reminders จากแอปพลิเคชัน Google Sheets สามารถแก้ไขปัญหาที่พบให้กับผู้ปฏิบัติงานภายในแผนก Import-Export ได้ อีกทั้งยังมีเครื่องมือและเทคโนโลยีที่ทันสมัยและเหมาะสมกับบริษัทกรณีศึกษา สามารถงานได้อย่างสะดวก รวดเร็ว และมีประสิทธิภาพ นอกจากนี้ยังสามารถนำไปเป็นแนวทางเพื่อปรับใช้กับงานด้านอื่นๆได้
การปรับปรุงกระบวนการนำเข้า,การศึกษาวิจัยเรื่อง “การปรับปรุงกระบวนการนำเข้าของบริษัท จำกัด” มีวัตถุประสงค์ เพื่อศึกษากระบวนการนำเข้าสินค้า วิเคราะห์หาสาเหตุของปัญหา และปรับปรุงประสิทธิภาพของกระบวนการนำเข้า โดยมีการประยุกต์ใช้แผนภูมิกระบวนการไหล เพื่อให้ทราบขั้นตอนและกระบวนการทำงาน จากนั้นจึงนำแผนผังต้นไม้ (Tree Diagram) มาประยุกต์ใช้เพื่อวิเคราะห์หาสาเหตุของกระบวนการทำงานในปัจจุบันและค้นหาปัจจัยที่ก่อให้ เกิดข้อผิดพลาด สาเหตุที่ผู้วิจัยสามารถดำเนินการปรับปรุงได้ คือ สาเหตุที่มาจากคนและวิธีการ สามารถแก้ไขปัญหา ได้ด้วยการ สร้างรายการ (Check List) การตรวจสอบใบขนสินค้า และสาเหตุที่มาจากเครื่องมือที่ใช้ในการตรวจสอบ สามารถแก้ไขปัญหาโดยการปรับปรุงฐานข้อมูล เมื่อทราบแนวทางการปรับปรุงแล้ว ผู้วิจัยได้นำเครื่องมือ ECRS มาประยุกต์ใช้เพื่อในการสร้างฐานข้อมูลใหม่ หลังปรับปรุงกระบวนการพบว่าสามารถลดระยะเวลาในการกิจกรรม การตรวจสอบ ขั้นตอนที่ 3 ตรวจสอบความถูกต้องของเอกสารการสั่งซื้อสินค้าของฝ่ายจัดซื้อ จากเดิม 30 นาที ลดลงเหลือ 5 นาที และขั้นตอนที่ 7 ตรวจสอบความถูกต้องของข้อมูลใบขนสินค้า จากเดิมใช้เวลา 70 นาที ลดลงเหลือ 15 นาที และเมื่อเทียบจำนวนเอกสารที่ต้องแก้ไขก่อน-หลังการปรับปรุงพบว่า ก่อนการปรับปรุงจำนวนการนำเข้า (Shipment) มีจำนวน 45 รายการ จำนวนเอกสารที่ต้องแก้ไข มีจำนวน 16 รายการ คิดเป็นร้อยละ 35.56 หลังการปรับปรุง จำนวน การนำเข้า (Shipment) ในช่วงระยะเวลา 45 รายการ จำนวนเอกสารที่ต้องแก้ไข มีจำนวน 3 รายการ คิดเป็นร้อยละ 6.60
ปัจจัยสำคัญที่มีผลต่อการตัดสินใจคัดเลือกซัพพลายเออร์,การศึกษาครั้งนี้มีวัตถุประสงค์เพื่อศึกษาและวิเคราะห์ปัจจัยสำคัญที่มีผลต่อการตัดสินใจคัดเลือกซัพพลายเออร์ของแผนกจัดซื้อของบริษัทกรณีศึกษาด้วยการประยุกต์ใช้กระบวนการวิเคราะห์เชิงลำดับชั้น (AHP) หาลำดับความสำคัญของปัจจัยที่สำคัญทั้งหมด 5 ปัจจัย ได้แก่ ปัจจัยด้านคุณภาพ ปัจจัยด้านราคา ปัจจัยด้านการจัดส่ง ปัจจัยด้านการบริการ และปัจจัยด้านความน่าเชื่อถือ เพื่อนำไปเป็นแนวทางให้บริษัทกรณีศึกษาใช้ในการตัดสินใจคัดเลือกซัพพลายเออร์จากปัจจัยที่มีความสำคัญมากที่สุด เพื่อให้ได้ซัพพลายเออร์ที่มีประสิทธิภาพในการทำงาน รวมถึงลดความเสี่ยงจากประเด็นปัญหาต่างๆที่อาจเกิดขึ้นและต้นทุนในการจัดซื้อขององค์กรอีกด้วย โดยใช้แบบสอบถามเป็นเครื่องมือสำหรับเก็บรวบรวมข้อมูลจากกลุ่มตัวอย่างจำนวน 5 คนในแผนกจัดซื้อขององค์กร ผลการวิจัยพบว่าปัจจัยที่มีผลต่อการตัดสินใจคัดเลือกซัพพลายเออร์ เรียงตามค่าถ่วงน้ำหนักความสำคัญได้ดังนี้ ปัจจัยด้านคุณภาพ มีค่าน้ำหนัก 0.362 ด้านราคา มีค่าน้ำหนัก 0.257 ด้านการจัดส่ง มีค่าน้ำหนัก 0.190 ด้านความน่าเชื่อถือ มีค่าน้ำหนัก 0.108 และด้านการบริการ มีค่าน้ำหนัก 0.083
การเพิ่มประสิทธิภาพการนำเข้าสินค้า ด้วยการปรับปรุงรูปแบบการขนส่ง,การศึกษาวิจัยครั้งนี้มีวัตถุประสงค์เพื่อปรับปรุงประสิทธิภาพการขนส่งวัตถุดิบของบริษัทกรณีศึกษาโดยผู้วิจัยได้ศึกษากระบวนการจัดส่งสินค้าแบบเต็มตู้คอนเทนเนอร์ (FCL) และแบบไม่เต็มตู้คอนเทนเนอร์ (LCL) เนื่องจากปัจจุบันบริษัทกรณีศึกษาได้มีการนำเข้าวัตถุดิบบางชนิดจากประเทศจีน และใช้รูปแบบการจัดส่งแบบไม่เต็มตู้คอนเทนเนอร์ ซึ่งจะมีรอบการนำเข้าสัปดาห์ละหนึ่งครั้ง ผู้วิจัยจึงได้เสนอแนวทางในการปรับปรุงประสิทธิภาพการขนส่งวัตถุดิบ โดยใช้รูปแบบการจัดส่งแบบเต็มตู้คอนเทนเนอร์แทน และปรับรอบการนำเข้าเป็นสองสัปดาห์ต่อครั้ง ซึ่งผู้วิจัยได้นำการวิเคราะห์ต้นทุนโลจิสติกส์เข้ามาช่วยในการจำแนกต้นทุนออกเป็นหมวดหมู่คือ ต้นทุนการขนส่งและต้นทุนการจัดเก็บ เพื่อนำมาวิเคราะห์และเปรียบเทียบต้นทุนรวมที่เกิดขึ้น ผลการศึกษาพบว่า การนำเข้าวัตถุดิบด้วยรูปแบบการจัดส่งสินค้าแบบเต็มตู้ โดยมีรอบการนำเข้าสองสัปดาห์ต่อครั้งนั้น สามารถลดต้นทุนการขนส่งได้ร้อยละ 4.73 เปอร์เซ็นต์ต่อปี แต่จะทำให้มีต้นทุนการจัดเก็บเพิ่มขึ้นร้อยละ 100 เปอร์เซ็นต์ต่อปี เมื่อนำมาคิดเป็นต้นทุนรวมพบว่า การใช้รูปแบบการจัดส่งสินค้าแบบเต็มตู้คอนเทนเนอร์แทนการจัดส่งสินค้าในรูปแบบเดิม สามารถลดต้นทุนรวมได้ประมาณร้อยละ 3.88 เปอร์เซ็นต์ต่อปี
การประยุกต์ใช้แนวคิดแบบลีนในการปรับปรุงกระบวนการประมูล,การวิจัยครั้งนี้ มีวัตถุประสงค์เพื่อศึกษากระบวนการประมูล ในขั้นตอนการส่ง-รับและจัดเก็บเอกสารซองประมูลของกรณีศึกษา บริษัทโซนี่ เพื่อเสนอแนวทางการปรับปรุงกระบวนการส่ง-รับ และจัดเก็บข้อมูลเอกสารซองประมูลที่ช่วยลดความสูญเปล่าและเพิ่มประสิทธิภาพของกระบวนการ โดยศึกษาจากเอกสาร งานวิจัยต่างๆที่เกี่ยวข้องกับการลดความสูญเปล่าและการเพิ่มประสิทธิภาพของกระบวนการ โดยเก็บรวบรวมข้อมูลจากการเข้าร่วมประชุมงานประมูลและศึกษาผังกระบวนการดำเนินงานประมูล โดยการนำแนวคิดระบบลีน (Lean) เข้ามาประยุกต์ใช้ในการปรับปรุงและเพิ่มประสิทธิภาพของกระบวนการเพื่อสำรวจความสูญเปล่าที่เกิดขึ้นในกระบวนการ และใช้ผังแสดงเหตุและผล (Cause and Effect Diagram) สำหรับศึกษาและสำรวจสภาพปัญหาปัจจุบัน เพื่อปรับปรุงกระบวนการให้มีประสิทธิภาพเพิ่มมากขึ้น ผลที่ได้จากการวิจัยพบว่า สามารถลดความสูญเปล่าในกระบวนการลงจากเดิมที่ใช้ระยะเวลาในการดำเนินงานประมูลราคาประมาณ 14-17 วันทำการเหลือเพียง 12-15 วันทำการ รวมทั้งยังสามารถลดระยะเวลาในกระบวนการส่งเอกสารซองประมูลมา ณ บริษัทกรณีศึกษาจาก 5 วันทำการ เหลือเพียง 3 วันทำการ
การปรับปรุงกระบวนการทำงานและจัดทำรายงานประจำเดือน (Monthly Report) โดย Google Data Studio,ปัจจุบันฝ่าย Master Production Schedule (MPS) ได้มีการทำรายงาน “(RESULT) DAILY PROD FOLLOW UP_Y2021” ซึ่งเป็นรายงานประจำวันเกี่ยวกับการดูผลลัพธ์ของแต่ละแผนกว่ามีการทำตามแผนที่วางไว้มากน้อยขนาดไหน ผู้วิจัยจึงต้องการที่จะปรับปรุงและพัฒนารายงานฉบับนี้ให้มีภาพรวมที่กว้างขึ้นและการเข้าถึงข้อมูลที่รวดเร็วขึ้น โดยจะใช้เครื่องมือ Google Data Studio เข้ามาช่วยในการจัดทำรายงานให้สามารถเห็นภาพรวมแบบ Time Frame ที่ใหญ่และ เข้าถึงข้อมูลรวดเร็วมาก และเพื่อให้ง่ายต่อการตัดสินใจ วางแผน ได้อย่างมีประสิทธิภาพ หลังจากการศึกษาการเก็บข้อมูลของกระบวนการจัดทำรายงานรูปแบบเดิม ได้พบปัญหาการทำงานที่ซับซ้อน ใช้เวลานานและยากต่อการเข้าถึงข้อมูล ผู้วิจัยจึงได้ใช้แนวคิดการศึกษาวิธีการทำงานตามหลักของอีซีอาร์เอส (ECRS) การลดความสูญเปล่าในการดำเนินงานเข้ามาช่วยในการปรับปรุงกระบวนการ ผู้วิจัยได้นำ Google Data Studio มาช่วยในการปรับปรุงกระบวนการทำงานแล้ว ทำให้สามารถใช้เวลาในการจัดทำรายงานรูปแบบใหม่สามารถลดความผิดพลาดจาก Human Error จึงทำให้การจัดทำรายงานรูปแบบอัตโนมัตินี้สามารถจัดทำรายงานได้ถูกต้อง 100 เปอร์เซ็นต์
การลดขั้นตอนการทำงานและลดระยะเวลาในแผนกจัดซื้อของบริษัทติดตั้ง บริการซ่อมบำรุง ระบบหล่อลื่นในโรงงานอุตสาหกรรมแห่งหนึ่งในจังหวัดระยอง,"การวิจัยนี้มีจุดประสงค์เพื่อศึกษาขั้นตอนการจัดซื้อจัดหาของบริษัทที่ได้เข้าไปทำการปฏิบัติสหกิจศึกษาเพื่อหาอุปสรรคหรือปัญหาที่เกิดขึ้นภายในกระบวนการการจัดซื้อจัดหา และการประยุกต์แนวคิดแบบลีนในการปรับปรุงขั้นตอนและประสิทธิภาพกระบวนการการจัดซื้อจัดหาของบริษัทที่ได้เข้าไปปฏิบัติสหกิจศึกษา จากการศึกษากระบวนการการจัดซื้อจัดหาและการสัมภาษณ์ พบว่าในกระบวนการการจัดซื้อจัดหาหนึ่งครั้งมีอยู่ทั้งหมด 21 ขั้นตอนลดลงมาเหลือ 8 ขั้นตอนใช้เวลาขั้นต่ำในการจัดซื้อจัดหาต่อ 1 คำสั่งซื้ออยู่ที่ประมาณ 12,097 นาทีหรือ 9 วันเป็นอย่างต่ำ โดยช่วงเวลาที่รอโดยไม่สร้างมูลค่ามีระยะเวลา 5,830.5 หรือ 97.175 ชั่วโมง หรือ 4 วัน หรือคิดเป็นร้อยละ 48.20 จากระยะเวลาในการดำเนินการจัดซื้อจัดหาทั้งหมด โดยถือเป็นความสูญเปล่าทางด้านกระบวนการ (Processing) โดยหลังจากมีการปรับปรุงกระบวนการการจัดซื้อจัดหาผลคือระยะเวลารวมของการจัดซื้อจัดหาลดลงเหลือ 5,800 นาทีหรือประมาณ 4 วัน จากเดิม 9 วัน และตันทุนด้านเอกสารจากเดิมอยู่ที่ประมาณ 7.12 บาทเป็นอย่างน้อยในการจัดซื้อจัดหาหนึ่งครั้ง เป็น ลดลงเหลือประมาณ 4.24 บาทต่อการจัดซื้อจัดหาหนึ่งครั้ง"
การเพิ่มประสิทธิภาพการจัดซื้อ รูปแบบ ABC analysis,ความสำคัญของการจัดซื้อจัดหาอย่างมีประสิทธิภาพ คือ สามารถควบคุมต้นทุน ภายใต้คุณภาพของวัตถุดิบหรือสินค้าที่ได้รับเสนอจากผู้เสนอขายหลายราย ทำให้ประหยัดต้นทุนและเพิ่มกำไรให้องค์กร การศึกษาการจัดกลุ่มสั่งซื้อวัสดุ เพื่อเพิ่มประสิทธิภาพการจัดซื้อ โดยวิเคราะห์สาเหตุของปัญหาการทำงานแผนกจัดซื้อและจัดกลุ่มการสั่งซื้อวัสดุ ดำเนินงานโดยใช้แผนผังก้างปลาอธิบายสาเหตุของปัญหาและหลัก 4M กำหนดปัจจัยของสาเหตุ วิเคราะห์ด้วยABC Analysis สำหรับการจัดกลุ่มการสั่งซื้อวัสดุ พบว่า กระบวนการจัดซื้อจัดหาพบสาเหตุจากบุคคลากรแผนกจัดซื้อไม่คงที่ เครื่องจักรสำหรับการผลิตมีอายุการใช้งานนานไม่มีการบำรุงอย่างต่อเนื่อง ระบบ ERP ส่วนงานจัดซื้อไม่มีการปรับเปลี่ยนข้อมูล และวัสดุบางชนิดมีระยะเวลานำที่ยาวนานเกินไปและคุณภาพไม่ได้มาตรฐาน แนวทางการแก้ไข คัดสรรพนักงานที่มี่คุณสมบัติตรงต่อตำแหน่งงาน จัดทำแผนการซ่อมบำรุงและตรวจสภาพเครื่องจักรและทำแผนสำรองหากเครื่องจักรมีการหยุดชะงัก ปรับปรุงข้อมูลเกี่ยวกับ ราคา MOQ ของระบบ ERP สำหรับวัสดุที่มีระยะเวลานำส่ง 1 ปี หาผู้ขายเพิ่ม เพื่อสนับสนุนต่อต้องการวัสดุกระทันหัน ผลการวิเคราะห์สามารถช่วยจัดกลุ่มสินค้าเพื่อสั่งซื้อและจัดกลุ่มผู้ขาย เพื่อบริหารความสัมพันธ์หรือบริหารการทำงานร่วมกันระหว่างบริษัทและผู้ขายแบ่งกลุ่มชัดเจนสามารถบริหารการใช้วัสดุและสั่งซื้อวัสดุอย่างคงที่ลดขั้นตอนการดำเนินงาน ลดต้นทุนและเพิ่มประสิทธิภาพการจัดซื้อ
